Zeitstempel,PV-Leistung (kW),Netz-Leistung (kW),Batterie-Leistung (kW),Hausverbrauch (kW),Batterieladestand (%)
2025-05-07 12:13:33,3.23095068359375,2.0982,0.00549236011505127,1.0158737304687502,100.0
2025-05-07 12:13:43,3.2088351440429688,2.089,0.0043366942405700685,1.0051513671875,100.0
2025-05-07 12:13:53,3.189011535644531,2.0658000000000003,0.005321526527404785,1.0079895507812497,100.0
2025-05-07 12:14:03,3.1722138061523437,2.0295,0.005850890636444092,1.02745654296875,100.0
2025-05-07 12:14:13,3.1613334350585935,2.0362999999999998,0.005592065811157227,1.011735888671875,100.0
2025-05-07 12:14:23,3.1577100219726564,2.024,0.005938209056854248,1.019360595703125,100.0
2025-05-07 12:14:33,3.161579833984375,2.039,0.00493961238861084,1.00726123046875,100.0
2025-05-07 12:14:43,3.1336026611328127,1.9958,0.004613016605377197,1.0252107421875,100.0
2025-05-07 12:14:54,3.125437927246094,2.0008,0.005613587856292725,1.011237841796875,100.0
2025-04-30 12:15:04,3.1077442626953125,1.9712,0.005944501399993896,1.0245260742187499,100.0
2025-04-30 12:15:14,3.1073510131835937,1.9815999999999998,0.005003260135650635,1.0135806640625,100.0
2025-04-30 12:15:24,3.1099049072265625,1.969,0.004726464748382568,1.02718994140625,100.0
2025-04-30 12:15:34,3.1168914794921876,1.9903,0.004561505794525147,1.014667529296875,100.0
2025-04-30 12:15:44,3.1194061279296874,1.9992,0.005446310043334961,1.007596142578125,100.0
2025-04-30 12:15:54,3.1138204345703127,1.972,0.005263802528381348,1.0281923828125,100.0
2025-04-30 12:16:04,3.106969482421875,1.9794,0.004792435646057129,1.0154864746093748,100.0
2025-04-30 12:16:15,3.099869445800781,2.0006,0.005857784748077393,0.9872249511718751,100.0
2025-04-30 12:16:25,3.0897723999023436,1.9892999999999998,0.0038709867000579832,0.9871340820312501,100.0
2025-04-30 12:16:35,2.8121207885742185,1.9726,0.004262908458709717,0.72518369140625,100.0
2025-04-30 12:16:45,3.0744817504882813,1.9794,0.003936948299407959,0.9821446777343749,100.0
2025-04-30 12:16:55,3.0686519775390626,1.9625,0.005225127220153809,0.994787841796875,100.0
2025-04-30 12:17:05,3.0638176879882812,1.9438,0.006033045291900635,1.008196826171875,100.0
2025-04-30 12:17:15,3.0580560913085937,1.9552,0.004797533512115478,0.9905919921874999,100.0
2025-04-30 12:17:25,3.0507711791992187,1.9515,0.005923342704772949,0.98807373046875,100.0
2025-04-30 12:17:35,3.0445302734375,1.9453,0.005855510711669922,0.9880571777343751,100.0
2025-04-30 12:17:45,3.0437642822265625,1.9447999999999999,0.005673505306243896,0.9875383789062501,100.0
2025-04-30 12:17:56,3.0423722534179687,1.9496,0.0069735231399536135,0.981449072265625,100.0
2025-04-30 12:18:06,3.0373238525390627,1.9529,0.005365626335144043,0.9735323730468749,100.0
2025-04-30 12:18:16,3.034159118652344,1.9427999999999999,0.006318938255310058,0.980547900390625,100.0
2025-04-30 12:18:26,3.0331807250976563,1.9493,0.0045802068710327146,0.9734275390625,100.0
2025-04-30 12:18:36,3.032941162109375,1.9442000000000002,0.0054494976997375485,0.9780927246093749,100.0
2025-04-30 12:18:46,3.0338986206054686,1.9383,0.0058193402290344235,0.9843069335937501,100.0
2025-04-30 12:18:56,3.0300935668945312,1.9282000000000001,0.005076467990875244,0.9911488769531249,100.0
2025-04-30 12:19:07,3.0318775024414064,1.9307999999999998,0.0065122957229614255,0.9906338378906251,100.0
2025-04-30 12:19:17,3.032546142578125,1.9372,0.005910336971282959,0.9843473632812499,100.0
2025-04-30 12:19:27,3.0344583740234374,1.9399000000000002,0.005189273834228516,0.9845655761718749,100.0
2025-04-30 12:19:37,3.0326668701171875,1.9359000000000002,0.005868635654449463,0.9863294921874999,100.0
2025-04-30 12:19:47,3.0361013793945313,1.9506,0.007021972179412842,0.9742471679687501,100.0
2025-04-30 12:19:57,3.0391696166992186,1.9489,0.005827677726745605,0.9803507324218749,100.0
2025-04-30 12:20:07,3.0435091552734375,1.9510999999999998,0.006914460182189942,0.9818167480468751,100.0
2025-04-30 12:20:17,3.0452783203125,1.9527999999999999,0.006629439830780029,0.9809998046875,100.0
2025-04-30 12:20:27,3.0468259887695313,1.9362000000000001,0.0057762074470520015,1.0004530761718748,100.0
2025-04-30 12:20:37,3.0478460693359377,1.9714,0.0070865797996521,0.9651151367187499,100.0
2025-04-30 12:20:47,3.051754211425781,1.9615,0.006396396636962891,0.978712890625,100.0
2025-04-30 12:20:58,3.049578186035156,1.9615,0.007443404674530029,0.97750244140625,100.0
2025-04-30 12:21:08,3.043577880859375,1.9344000000000001,0.0077989182472229,0.9982010742187499,100.0
2025-04-30 12:21:18,3.038814270019531,1.9243,0.006493158340454101,1.004104541015625,100.0
2025-04-30 12:21:28,3.0345935668945314,1.9241,0.00686866283416748,0.99928818359375,100.0
2025-04-30 12:21:38,3.032500915527344,1.9235,0.005147107601165771,0.9980146484375,100.0
2025-04-30 12:21:48,3.0315442504882815,1.9253,0.005919995307922363,0.99500029296875,100.0
2025-04-30 12:21:58,3.033113525390625,1.9245,0.006633373737335205,0.99807421875,100.0
2025-04-30 12:22:09,3.037431640625,1.9055,0.007351531982421875,1.020986572265625,100.0
2025-04-30 12:22:19,3.0466302490234374,1.9341,0.0049699716567993164,1.0010635742187501,100.0
2025-04-30 12:22:29,3.0594853515625,1.9395,0.0050180768966674805,1.008915771484375,100.0
2025-04-30 12:22:39,3.081491882324219,1.9672,0.0057198071479797365,1.001879345703125,100.0
2025-04-30 12:22:49,3.102859619140625,1.987,0.0072265748977661136,1.003612060546875,100.0
2025-04-30 12:22:59,3.1160496826171875,1.9992,0.006873013973236084,1.0044376953125,100.0
2025-04-30 12:23:09,3.1221610107421873,2.0069,0.006212660789489746,1.0013509765625,100.0
2025-04-30 12:23:19,3.1153128662109375,2.0012,0.006040358543395996,1.00177021484375,100.0
2025-04-30 12:23:29,3.106968505859375,1.9455,0.006936677932739258,1.048697265625,100.0
2025-04-30 12:23:39,3.0911611328125,1.9375,0.005264331817626953,1.040266357421875,100.0
2025-04-30 12:23:49,3.086476623535156,1.9321,0.006486919403076172,1.04271982421875,100.0
2025-04-30 12:24:00,3.082375183105469,1.9347999999999999,0.005259425640106511,1.035284228515625,100.0
2025-04-30 12:24:10,3.0816202392578127,1.9031,0.005463849067687989,1.06741513671875,100.0
2025-04-30 12:24:20,3.07579736328125,1.8898,0.007875243663787841,1.0739060546875001,100.0
2025-04-30 12:24:30,3.0654892578125,1.895,0.006357916831970215,1.05872900390625,100.0
